id	name	abb	category	pmid	source	samples	species	min	max	med	avg	dev	und	cut	ovr	inc	m	f	stage	who	region	methods	results	conclusions	validated	diag	prog	pred	ther	cost	relevance	implications	effect	comments	curator
564	H3F3A K27M mutation	H3F3A K27M	DNA	23429371	Tissue	338 brain tumours	Homo Sapiens	0	18								NA		I;II;III;IV	2007	Germany	Pyrosequencing analysis	3F3A K27M mutations are restricted to pediatric diffuse high-grade astrocytomas	H3F3A K27M mutation occurs exclusively in diffuse high-grade pediatric astrocytomas	no	YES	NO	NO	NA	NA	NA	NA	NA	NA	ANA
263	BRAF;H3F3A;IDH1	BRAF;H3F3A;IDH1	DNA	26452024	Tissue	GBM=107	Homo Sapiens	17	35								66	41	IV	2007	China	Molecular analysis;Flourescence in situ hybridization;IHC;ANOVA;Kaplan-Meier curves;Log-rank test;Cox model	BRAF mutation exhibited better prognosis than WT;IDH1 mutation showed favorable prognosis comparing to IDH1 WT; H3F3A-K27M mutation was associated with poor prognosis;Tumors with positive PDGFRA expression showed shorter survival than those with negative expression	BRAF, H3F3A-K27M, IDH1 and PDGFRA demonstrated prognostic relevance in young adult glioblastomas	No	YES	YES	NO	YES	NA	NA	NA	Yes	 BRAF mutation and IDH1 mutation identify glioblastomas with less aggressive clinical course and H3F3A-K27M mutation defines glioblastomas with dismal prognosis.	RF
46	Cadherin 2 expression	CDH2	RNA	29731893	Tissue	9 Glioma (3 Grade II, 3 Grade III, 3 Grade IV)	Homo Sapiens	30	45								3	6	II;III;IV	Post 2010	China	n the present study, the association between CDH2 expression and clinical features was investigated based on the Chinese Glioma Genome Atlas (CGGA), the Rembrandt datasets and The Cancer Genome Atlas datasets (TCGA). Medical statistical methods, including Kaplan-Meier analysis and Cox regression model were used. The expression of CDH2 was identified to be strongly associated with glioma World Health Organization grade in the CGGA and Rembrandt datasets. Primary Methods: RT-PCR;Statistical analysis	The expression of CDH2 was identified to be strongly associated with glioma World Health Organization grade in the CGGA and Rembrandt datasets. Patients with low CDH2 expression had an improved prognosis and benefited from temozolomide therapy.	these findings revealed that CDH2 may serve as a prognostic and predictive molecular biomarker for the grading and treatment of glioma.	Potential	NA	Potential	Potential	NA	NA	NA	NA	NA	Standard small-size trial examining upregulation and downregulation of a biomarker. 	Erik Samuelsson
571	IL-17	IL-17	Cytokine	23411595	Tissue	GBM=41	Homo Sapiens	14	56								18	23	IV	2007	China	Immunohistochemistry;Cox model;Kaplan Meier method	Positive cells of CD137L and IL-17 in glioblastoma tissue samples were 46.3% and 73.2% respectively;Expression of CD137L was not correlated with overall survival of GBM patients, while significantly longer survival rate was seen in patients with high expression of IL-17, compared to those with low expression of IL-17;IL-17 expression was significantly correlated with Progression-free survival and death rate;IL-17 (P=0.018) and progression free survival were independent factors affecting the overall survival probability;Progression free survival of high expression of IL-17 group were significantly longer than low expression group with GBM	High levels of IL-17 expression in the tumor tissues may be a good prognostic marker for patients with GBM	No	NO	Potential	NO	NO	NA	NA	NA	NA	NA	ANA
367	Tenascin-C	Tenascin-C	DNA	25469866	Tissue	GBM=17;Grade III A=18;Grade II A=15;Grade I A=4;Control=7	Homo Sapiens	18	57								34	27	I;II;III;IV	2007	USA;Thailand	Immunohistochemistry;Double-immunofluorescence;Western blot;Cell sorting and limiting dilution assay;Flow cytometry;t-test	TNC expression was found to be highly associated with the grade of astrocytoma;High expression level in most of the grade III astrocytomas and GBMs analyzed and a very low expression in most grade II astrocytomas, whereas it is undetectable in grade I astrocytomas and normal brain tissues;Double-immunofluorescence staining for TNC and CD133 in GBM tissues revealed that there was a high overlap between theses two positive populations	TNC is not only a potential prognostic marker for GBM but also a potential marker for glioma CSCs, where the TNC+ population is identified as a CSC population overlapping with part of the CD133– cell population	No	NA	Potential	NA	NA	NA	NA	NA	NA	A marker not only for GBM but also for gliomas cancer stem cells	BP
87	PTEN-COL17A1 fusion gene	PTEN-COL17A1	Protein	29156757	Tissue	CGGA data (CGGA-834 (OA)+CGGA-837 (GBM))	Homo Sapiens	25	57								NA		II;IV	NA	China	Transcriptome sequencing	PTEN-COL17A1 fusion gene does not lead to in measurable fusion protein production;PTEN-COL17A1 fusion gene accopanied with high levels of COL17A1 expression;novel regulatory mechanism of Collagen XVII expression by PTEN-COL17A1 gene fusion revealed	new PTEN-COL17A1 fusion gene and its novel regulatory role in Collagen XVII expression and GBM malignance revealed;COL17A1 could serve as a useful prognostic biomarker and therapeutic targets for GBM	Potential	NA	Potential	NA	NA	NA	NA	NA	COL17A1 could serve as a therapeutic targets for GBM	Paper refers to previous work and uses only 2 patients?!	Vanessa
370	IDH1 mutation;MGMT promoter methylation	IDH1;MGMT	DNA	25455102	Tissue	GBM=40	Homo Sapiens	51	59								NA		IV	2007	Turkey	PCR;MS-HRM analysis;Chi-square test;Two tailed Fisher's test;Log-rank test;Kaplan-Meier method	IDH1 mutations were detected in 5 of 40 primary GBMs;Primary GBM patients carrying IDH1 mutations were significantly younger, mean age of 41 ± 5.06 years, than patients with wild-type IDH1, mean age of 57 ± 2,29 years;Mean survival time of all GBM patients with and without IDH1 mutations was 19 months (5 cases) and 16 months (35 cases), respectively;MGMT methylation was detected in 13 of the 40 patients;MGMT-promoter methylation did not correlate with overall survival	First study to investigate the IDH1 mutation status and MGMT methylation in primary GBMs in Turkish population and confirmed IDH1 mutation as a genetic marker for also primary GBMs;Data are still insufficient for definite ascertainment;Preliminary results suggest that IDH1 status shows an association with younger age and there is a lack of association between IDH1 mutation and survival time;MGMT promoter methylation had no prognostic value and lower frequency in primary glioblastomas	No	NA	Potential	NA	NA	NA	NA	NA	NA	Study is specific to primary GBMs and Turkish population	BP
20	miR-326;lncRNA H19	miR-326;lncRNA H19	RNA	30096248	Tissue	GBM=50	Homo Sapiens	45.77	59.38								37	13	IV	Post 2010	Egypt;Saudi Arabia	Qiagen miRNeasy FFPE Kit;RT-PCR;Methylation-specific PCR of O(6)-methylguanine-DNA methyltransferase (MGMT) promoter	Relative expression levels of miR-326 were not found to be significantly altered in GBM patients;H19 was consistently over-expressed in all GBM patients, and was correlated with poorer overall survival (OS) and progression-free survival (PFS)	Despite our in silico data, expression level analysis for both ncRNAs were not significantly correlated;Data suggest a role for H19 in the pathogenesis of GBM and could be a potential prognostic biomarker for GBM	No	NA	Potential (H19)	NA	NA	NA	NA	NA	NA	Relative expression levels of miR-326 were not found to be significantly altered in GBM patients. In spite of the aforementioned data, study results were not consistent regarding miR-326 expression levels;miR-326 was under-expressed in 40% of the current GBM patients and over-expressed in 60% compared to the cancer-free brain tissue, with no significant correlation detected	Erik Samuelsson
173	RAR𝛽	RAR𝛽	DNA	27358635	Tissue	GBM=40	Homo Sapiens	47	61								NA		IV	2007	Turkey	MS-HRM analysis;Chi-square test;Two-tailed Fisher's exact test;t-test	RARβ methylation was detected in 24  out of 40 cases with glioblastoma multiforme in different quantitative ratios;3 were 25% methylated, 5 were 50% methylated, 4 were 75% methylated and 12 cases showed 100% RARβ gene hypermethylation;The mean survival time of the patients with RARβ methylation was calculated to be 19 months and the survival time for unmethylated cases was calculated as 15 months;RARβ methylated patients who received both chemotherapy and radiotherapy treatment combined had a survival time of 25 months;The patients who received only radiotherapy or had no treatment protocol had a survival time between 15–20 months, which demonstrates a significant difference (P<0.05)	Results demonstrate the role of the RARβ gene in glioma tumorigenesis, with RARβ promoter methylation being of prognostic value for glioblastoma patients	No	NO	Potential	Potential	NA	NA	NA	NA	NA	First study to investigate RARβ methylation in primary GBMs	BP
349	MGMT promoter methylation	MGMT	DNA	25655102	Tissue	GBM=105	Homo Sapiens	21	62								69	36	IV	2007	Germany;Switzerland	Prospective, open-label, randomized, two arm trial of two competing temozolomide dosing regimens for patients with GBM at first relapse or progression;Central pathology review;DNA extraction;MGMT promoter methylation analysis;Cox model	Because of withdrawal of support, the trial was prematurely closed to accrual after 105 patients;There was a similar outcome in both arms for median TTF (A: 1.8 months, 95% confidence intervals (CI), 1.8–3.2 vs. B: 2.0 months, 95% CI, 1.8–3.5) and overall survival (A: 9.8 months (95% CI, 6.7–13.0) vs. B: 10.6 months (95% CI, 8.1–11.6));Median TTF in patients with MGMT-methylated tumors was 3.2 months (95% CI, 1.8–7.4) versus 1.8 months (95% CI, 1.8–2) in MGMT-unmethylated glioblastoma;Progression-free survival rates at 6 months (PFS-6) were 39.7% with versus 6.9% without MGMT promoter methylation	Temozolomide rechallenge is a treatment option for MGMT promoter-methylated recurrent glioblastoma;Alternative strategies need to be considered for patients with progressive glioblastoma without MGMT promoter methylation	No	NA	NA	YES	YES	NA	Predictive of Temozolomode rechallenge as a treatment option for MGMT promoter methylated recurrent glioblastoma;Trials underway	NA	Temozolomide treatment if marker present	The DIRECTOR trial	BP
